Contemporary Amperex Technology AG （德国时代新能源科技股份有限公司）等注册于德国的公司,30.175-32.975
PT Indonesia Puqing Recycling Technology （印尼普青循环科技有限公司）等注册于印度尼西亚的公司,22
"Contemporary Amperex Technology Mexico, S.A. DE C.V. （墨西哥时代新能源科技有限公司）",30
Brunp-CATL (Argentina) S.A. （阿根廷邦普时代有限公司）,25-35
Contemporary Ruiding Development Limited （时代瑞鼎发展有限公司）等注册于英属维尔京群岛的公司,0
Linergy Power Sdn. Bhd. (马来西亚新能安科技有限公司),24
"CATL Korea Co.,Ltd (韩国时代新能源科技有限公司)",9
Contemporary Amperex Technology (Uk) Limited (英国时代新能源科技有限公司),19
Contemporary Amperex Technology Italia s.r.l （意大利时代新能源科技有限公司）,27.9
Contemporary Amperex Technology South Africa (Pty) Ltd （南非时代新能源科技有限公司）,27
Contemporary Amperex Middle East Technology-L.L.C-S.P.C （阿联酋时代新能源科技有限公司),0、9
Contemporary Amperex Technology Chile SpA. （智利时代新能源科技有限公司）,27
