,项目,,,期初余额,,,本期增加,,,本期减少,,,期末余额,,,形成原因,
,递延收益,,"22,041,069",,,"11,023,642",,,"5,743,158",,,"27,321,553",,,,,
,合计,,"22,041,069",,,"11,023,642",,,"5,743,158",,,"27,321,553",,,,,
