姓名,,,担任的职务,,类型,,,日期,,,原因
赵丰刚,,执行董事,,离任,,,2025年12月5日,,,公司治理结构调整,
欧阳楚 英,,职工代表董事 兼执行董事,,选举,,,2025年12月25 日,,,公司治理结构调整，选举为公司职工代表董事,
吴映明,,执行董事,,选举,,,2025年12月25 日,,,公司治理结构调整，取消监事会，选举为公司第四届董 事会董事,
