,博士,,745,573,30.02%,
,研发人员年龄构成,,,,,
,30岁以下,,"11,837","10,408",13.73%,
,30~40岁,,"9,740","8,830",10.31%,
,40岁以上,,"1,324","1,108",19.49%,
