,项目,,,期初余额,,,本期增加,,,本期减少,,,期末余额,
,资本溢价（股本溢价）,,"111,836,493",,,"41,321,444",,,"7,815",,,"153,150,122",,
,其他资本公积,,"4,919,643",,,,,,"1,821,551",,,"3,098,092",,
,合计,,"116,756,136",,,"41,321,444",,,"1,829,366",,,"156,248,214",,
