,4.期末余额,,"11,907,989","73,312,520","167,921","2,057,888","460,356","451,945","88,358,619",
,三、减值准备,,,,,,,,,
,1.期初余额,,"1,423,195","4,760,458","1,816",311,"152,426","1,774","6,339,980",
,2.本期增加金,,"672,578","2,498,123",130,717,"2,522","35,182","3,209,253",
,额,,,,,,,,,
,（1）计提,,"233,930","2,423,322",,186,"2,522",32,"2,659,992",
,（2）其他增加,,"438,648","74,801",130,531,,"35,151","549,261",
,3.本期减少金,,,"751,126","1,516",238,"152,426",23,"905,329",
,额,,,,,,,,,
,（1）处置或报废,,,"751,126","1,516",238,"152,426",23,"905,329",
,及其他,,,,,,,,,
,4.期末余额,,"2,095,774","6,507,455",430,790,"2,522","36,934","8,643,904",
,四、账面价值,,,,,,,,,
,1.期末账面价,,"71,980,083","65,786,848","120,448","1,068,984","6,208,862","1,235,366","146,400,592",
,值,,,,,,,,,
,2.期初账面价,,"56,522,165","51,794,473","169,534","993,923","2,953,345","155,614","112,589,053",
,值,,,,,,,,,
