合营企业或联营 企业名称,主要经营地,注册地,业务性质,,持股比例,,,,对合营企业或联 营企业投资的会 计处理方法
,,,,直接,,间接,,,
洛阳栾川钼业集 团股份有限公司,洛阳市,洛阳市,有色金属矿采选业,,,24.91%,,权益法,
