,关联方,,,关联交易内容,,,本期发生额,,,上期发生额,
合营企业,,,销售商品,,,"87,340",,,"11,786",,
合营企业,,,销售服务及其他,,,"4,551",,,"8,368",,
联营企业,,,销售商品,,,"6,248,366",,,"5,389,551",,
联营企业,,,销售材料,,,"1,760,164",,,"1,661,404",,
联营企业,,,销售服务及其他,,,"905,895",,,"1,109,221",,
关联自然人直接或间接控 制、或担任董事或高级管理 人员的其他企业,,,销售服务及其他,,,,,,12,,
