曾毓群,,,男,,,57,,,董事长兼执行董事、总经理,,现任,,"5,690",否,,
潘健,,,男,,,50,,,联席董事长兼执行董事,,现任,,330,否,,
李平,,,男,,,57,,,副董事长兼执行董事,,现任,,352,是(1),,
周佳,,,男,,,48,,,副董事长兼执行董事,,现任,,"1,724",否,,
欧阳楚英,,,男,,,49,,,职工代表董事兼执行董事,,现任,,"3,290",否,,
吴映明,,,男,,,59,,,执行董事,,现任,,"2,011",否,,
吴育辉,,,男,,,47,,,独立非执行董事,,现任,,200,否,,
林小雄,,,男,,,64,,,独立非执行董事,,现任,,/,否,,
赵蓓,,,女,,,68,,,独立非执行董事,,现任,,200,否,,
谭立斌,,,男,,,57,,,副总经理,,现任,,"2,642",否,,
蒋理,,,男,,,46,,,副总经理、董事会秘书、联 席公司秘书,,现任,,"1,942",否,,
郑舒,,,男,,,46,,,财务总监,,现任,,"2,829",否,,
赵丰刚,,,男,,,59,,,执行董事,,离任,,"3,293",否,,
,合计,,,--,,,--,,,--,--,,"24,503",,--,
