,,,联席,,,,,,,,,
,,,,,2025,2027,,,,,,
,,,董事,,,,,,,,,
,,,,,年1,年12,,,,,,
,,,长兼,,,,,,,,,
,,,,,月17,月25,,,,,,
,,,执行,,,,,,,,,
,,,,,日,日,,,,,,
,,,董事,,,,,,,,,
,,,,,,,,,,,,
,男,57,,现任,2015,2027,,,,,,
,,,,,年12,年12,,,,,,
,,,董事,,,,,,,,,
,,,,,月15,月25,,,,,,
,,,,,,,,,,,,
,,,,,日,日,,,,,,
,,,,,,,,,,,,股票
李平,,,副董,,,,"201,510,277",,"4,050,000",,"197,460,277",
,,,,,2017,2027,,,,,,捐赠
,,,事长,,,,,,,,,
,,,,,年6,年12,,,,,,
,,,兼执,,,,,,,,,
,,,,,月5,月25,,,,,,
,,,行董,,,,,,,,,
,,,,,日,日,,,,,,
,,,事,,,,,,,,,
,,,,,,,,,,,,
,男,48,,现任,2015,2027,,,,,,
,,,,,年12,年12,,,,,,
,,,董事,,,,,,,,,
,,,,,月15,月25,,,,,,
,,,,,,,,,,,,
,,,,,日,日,,,,,,
周佳,,,副董,,,,,,,,,
,,,,,2022,2027,,,,,,
,,,事长,,,,,,,,,
,,,,,年8,年12,,,,,,
,,,兼执,,,,,,,,,
,,,,,月1,月25,,,,,,
,,,行董,,,,,,,,,
,,,,,日,日,,,,,,
,,,事,,,,,,,,,
,,,,,,,,,,,,
,男,49,,现任,2023,2027,,,,,,
,,,,,年8,年12,,,,,,
,,,董事,,,,,,,,,
,,,,,月24,月25,,,,,,
,,,,,,,,,,,,
,,,,,日,日,,,,,,
欧阳,,,职工,,,,,,,,,
楚英,,,代表,,2025,2027,,,,,,
,,,董事,,年12,年12,,,,,,
,,,,,,,,,,,,
,,,兼执,,月25,月25,,,,,,
,,,,,,,,,,,,
,,,行董,,日,日,,,,,,
,,,事,,,,,,,,,
,男,59,,现任,2025,2027,,,,,,
吴映,,,执行,,年12,年12,,,,,,
,,,,,,,,,,,,
明,,,董事,,月25,月25,,,,,,
,,,,,,,,,,,,
,,,,,日,日,,,,,,
,男,47,独立,现任,2023,2027,,,,,,
吴育,,,非执,,年8,年12,,,,,,
,,,,,,,,,,,,
辉,,,行董,,月24,月25,,,,,,
,,,,,,,,,,,,
,,,事,,日,日,,,,,,
,男,64,独立,现任,2023,2027,,,,,,
林小,,,非执,,年8,年12,,,,,,
,,,,,,,,,,,,
雄,,,行董,,月24,月25,,,,,,
,,,,,,,,,,,,
,,,事,,日,日,,,,,,
,女,68,独立,现任,2023,2027,,,,,,
,,,非执,,年8,年12,,,,,,
赵蓓,,,,,,,,,,,,
,,,行董,,月24,月25,,,,,,
,,,,,,,,,,,,
,,,事,,日,日,,,,,,
,男,57,,现任,2015,2027,"93,294",,,,,
谭立,,,副总,,年12,年12,,,,,,股权
,,,,,,,,"32,834",,,"126,128",
斌,,,经理,,月15,月25,,,,,,激励
,,,,,,,,,,,,
,,,,,日,日,,,,,,
