机器设备,年限平均法,3-10,0.00-5.00,33.00-9.50
电子设备,年限平均法,3-10,0.00-5.00,33.00-9.50
运输设备,年限平均法,3-10,0.00-5.00,33.00-9.50
专用设备,年限平均法,3-25,0.00-5.00,33.00-3.80
其他设备,年限平均法,3-10,0.00-5.00,33.00-9.50
境外土地,不适用,永久,不适用,不适用
