,,,期初余额,,本次变动增减（+、-）,,,,,,,,,,,,,,期末余额
,,,,,发行新股,,,送股,,,公积金转股,,,其他,,,小计,,
,股份总数,,"4,403,466","160,409",,,,,,,,,-72,,,"160,337",,,"4,563,803"
