,项目,,,2025年度,,,2024年度,
,一、营业总收入,,"423,701,834",,,"362,012,554",,
,其中：营业收入,,"423,701,834",,,"362,012,554",,
,利息收入,,,,,,,
,已赚保费,,,,,,,
,手续费及佣金收入,,,,,,,
,二、营业总成本,,"344,824,196",,,"303,303,900",,
,其中：营业成本,,"312,383,297",,,"273,518,959",,
,利息支出,,,,,,,
,手续费及佣金支出,,,,,,,
,退保金,,,,,,,
,赔付支出净额,,,,,,,
,提取保险责任合同准备金净,,,,,,,
,额,,,,,,,
,保单红利支出,,,,,,,
,分保费用,,,,,,,
,税金及附加,,"2,832,322",,,"2,057,466",,
,销售费用,,"3,735,118",,,"3,562,797",,
,管理费用,,"11,666,741",,,"9,689,839",,
,研发费用,,"22,146,581",,,"18,606,756",,
,财务费用,,"-7,939,863",,,"-4,131,918",,
,其中：利息费用,,"2,734,017",,,"3,879,076",,
,利息收入,,"10,594,657",,,"9,502,997",,
,加：其他收益,,"10,600,477",,,"9,967,630",,
,投资收益（损失以“－”号填,,"7,970,552",,,"3,987,823",,
,列）,,,,,,,
,其中：对联营企业和合营,,"7,353,106",,,"3,743,040",,
,企业的投资收益,,,,,,,
,以摊余成本计量的,,"-37,696",,,"-396,983",,
,金融资产终止确认收益,,,,,,,
,汇兑收益（损失以“-”号填列）,,,,,,,
,净敞口套期收益（损失以“－”,,,,,,,
,号填列）,,,,,,,
,公允价值变动收益（损失以,,"974,079",,,"664,223",,
,“－”号填列）,,,,,,,
