名称,2024年12月31日,,,,,,,,,
,,账面余额,,,坏账准备,预期信用损失率（%）,,,计提理由,
其他,"45,115",,,"45,115",,100.00,,预计无法收回,,
合计,"730,184",,,"730,184",,100.00,,,,
