债券项目名称,中介机构名称,办公地址,,签字会计,,中介机构联系人,联系电话
,,,,师姓名,,,
宁德时代新能源 科技股份有限公 司 2022 年度第一 期绿色中期票据,兴业银行股份有 限公司,福建省福州市台江区江 滨中大道 398 号兴业银 行大厦,蔡志良 施旭锋,,,刘媛、吴黄衍,010-89926570、 0593-2539317
,中国工商银行股 份有限公司,北京市西城区复兴门内 大街55 号,,,,王思源,010-81013642
,致同会计师事务 所（特殊普通合 伙）,北京朝阳区建国门外大 街22 号赛特广场 5 层,,,,施旭锋,010-85665588
,上海市通力律师 事务所,上海市银城中路 68 号时 代金融中心 19 楼,,,,蔡若思,021-31358666
,联合资信评估股 份有限公司,北京市朝阳区建国门外 大街2 号中国人保财险 大厦 17层,,,,高鹏,010-85679696
,联合赤道环境评 价股份有限公司,天津市和平区小白楼街 曲阜道 80 号 503 室,,,,刘景允,022-58356817
