,信用减值损失（损失以“-”号填,,"-418,585",,,"-872,526",,
,列）,,,,,,,
,资产减值损失（损失以“-”号填,,"-8,660,164",,,"-8,423,325",,
,列）,,,,,,,
,资产处置收益（损失以“-”号填,,"174,640",,,"19,319",,
,列）,,,,,,,
,三、营业利润（亏损以“－”号填列）,,"89,518,636",,,"64,051,799",,
,加：营业外收入,,"463,520",,,"135,422",,
,减：营业外支出,,"455,611",,,"1,005,182",,
,四、利润总额（亏损总额以“－”号填,,"89,526,545",,,"63,182,039",,
,列）,,,,,,,
,减：所得税费用,,"12,740,236",,,"9,175,245",,
,五、净利润（净亏损以“－”号填列）,,"76,786,309",,,"54,006,794",,
,（一）按经营持续性分类,,,,,,,
,1.持续经营净利润（净亏损以“－”,,"76,786,309",,,"54,006,794",,
,号填列）,,,,,,,
,2.终止经营净利润（净亏损以“－”,,,,,,,
,号填列）,,,,,,,
,（二）按所有权归属分类,,,,,,,
1.归属于母公司股东的净利润,,,"72,201,282",,,"50,744,682",,
,2.少数股东损益,,"4,585,027",,,"3,262,113",,
,六、其他综合收益的税后净额,,"7,220,215",,,"-1,687,613",,
,归属母公司所有者的其他综合收益,,"7,249,870",,,"-1,804,283",,
,的税后净额,,,,,,,
,（一）不能重分类进损益的其他,,"5,323,769",,,"-2,527,245",,
,综合收益,,,,,,,
,1.重新计量设定受益计划变动,,,,,,,
,额,,,,,,,
,2.权益法下不能转损益的其他,,"128,861",,,"93,456",,
,综合收益,,,,,,,
,3.其他权益工具投资公允价值,,"5,194,972",,,"-2,620,701",,
,变动,,,,,,,
,4.企业自身信用风险公允价值,,,,,,,
,变动,,,,,,,
,5.其他,,-64,,,,,
,（二）将重分类进损益的其他综,,"1,926,100",,,"722,962",,
,合收益,,,,,,,
,1.权益法下可转损益的其他综,,"14,781",,,"-235,668",,
,合收益,,,,,,,
,2.其他债权投资公允价值变动,,,,,,,
,3.金融资产重分类计入其他综,,"15,130",,,"157,579",,
,合收益的金额,,,,,,,
,4.其他债权投资信用减值准备,,,,,,,
,5.现金流量套期储备,,"2,859,538",,,"-441,101",,
,6.外币财务报表折算差额,,"-963,349",,,"1,242,151",,
,7.其他,,,,,,,
,归属于少数股东的其他综合收益的,,"-29,655",,,"116,670",,
,税后净额,,,,,,,
,七、综合收益总额,,"84,006,523",,,"52,319,181",,
