战 略 委 员 会,曾毓 群、 李 平、 周 佳、 潘 健、 欧阳 楚 英、 赵丰 刚,2,2025年 3月7日,审议通过《关于境外全资子公司在境外发 行债券并由公司提供担保的议案》,战略委员会按 照相关法律法 规及《公司章 程》《董事会 战略委员会工 作细则》等相 关制度的规定 开展工作，勤 勉尽责，根据 公司的实际情 况，提出了相 关的意见，经 过充分沟通讨 论，一致通过 所有议案,无,无
,,,2025年 5月6日,审议通过《关于确定公司H股全球发售及 在香港联合交易所有限公司主板上市相关 事宜的议案》,,,
,曾毓 群、 李 平、 周 佳、 潘 健、 欧阳 楚英,1,2025年 12月7 日,审议通过《关于拟注册发行债券的议案》,,,
提 名 委 员 会,林小 雄、 吴育 辉、 曾毓 群,2,2025年 3月7日,审议通过《关于独立董事2024年度保持独 立性情况的专项意见》《关于修订<董事会 提名委员会工作细则（草案）>的议案》 《关于制定<董事会多元化政策（草案）> 的议案》等议案,提名委员会严 格按照相关法 律法规及《公 司章程》《提 名委员会工作 细则》等相关 制度的规定开 展工作，根据 公司的实际情 况，提出了相 关的意见，经 过充分沟通讨 论，一致通过 所有议案,无,无
,,,2025年 12月2 日,审议通过《关于修订<董事会提名委员会工 作细则>的议案》《关于补选公司第四届董 事会非独立董事的议案》,,,
薪 酬 与 考 核 委 员 会,赵 蓓、 林小 雄、 李平,5,2025年 3月7日,审议通过《关于确认董事2024年度薪酬及 拟定2025年度薪酬方案的议案》《关于确 认高级管理人员2024年度薪酬及拟定 2025年度薪酬方案的议案》《关于为董 事、监事及高级管理人员购买责任险的议 案》《关于调整股票期权行权价格和限制性 股票授予价格的议案》《关于修订<董事会 薪酬与考核委员会工作细则>的议案》《关 于修订<董事会薪酬与考核委员会工作细则 （草案）>的议案》等议案,薪酬与考核委 员会严格按照 相关法律法规 及《公司章 程》《薪酬与 考核委员会工 作细则》等相 关制度的规定 开展工作，根 据公司的实际 情况，提出了 相关的意见， 经过充分沟通,无,无
,,,2025年 7月29 日,审议通过《关于调整股票期权行权价格和 限制性股票授予价格的议案》,,,
