11,苏州时代新安能源科技有限公司,15%,2025-2027年
12,宁德烯铖科技有限公司,15%,2025-2027年
13,北京中科邦普循环科技创新有限公司,15%,2025-2027年
14,宜昌邦普时代新能源有限公司,15%,2025-2027年
15,宁德时代电船科技有限公司,15%,2025-2027年
