,前,,,,,,,,,,,,,,,,
,期差错更正,,,,,,,,,,,,,,,,
,其,,,,,,,,,,,,,,,,
,他,,,,,,,,,,,,,,,,
,二、本年期,,"4,399,041",,,,"87,907,213","1,572,972","1,528,223","9,355","2,192,566",,"103,244,626",,"197,708,052","22,175,098","219,883,151"
,初余额,,,,,,,,,,,,,,,,
,三、本期增,,"4,425",,,,"28,848,923","1,139,832","-1,876,860","26,196","2,213",,"23,356,915",,"49,221,980","4,351,043","53,573,023"
,减变动金额,,,,,,,,,,,,,,,,
,（减少以,,,,,,,,,,,,,,,,
,“－”号填,,,,,,,,,,,,,,,,
,列）,,,,,,,,,,,,,,,,
,（一）综合,,,,,,,,"-1,804,283",,,,"50,744,682",,"48,940,398","3,378,782","52,319,181"
,收益总额,,,,,,,,,,,,,,,,
,（二）所有,,"4,425",,,,"2,932,839","1,139,832",,,,,,,"1,797,432","1,412,079","3,209,511"
,者投入和减,,,,,,,,,,,,,,,,
,少资本,,,,,,,,,,,,,,,,
,1．所有者,,"4,425",,,,"591,722","1,139,832",,,,,,,"-543,685","1,959,694","1,416,008"
,投入的普通,,,,,,,,,,,,,,,,
,股,,,,,,,,,,,,,,,,
,2．其他权,,,,,,,,,,,,,,,,
,益工具持有,,,,,,,,,,,,,,,,
,者投入资本,,,,,,,,,,,,,,,,
,3．股份支,,,,,,"678,260",,,,,,,,"678,260","10,735","688,995"
,付计入所有,,,,,,,,,,,,,,,,
,者权益的金,,,,,,,,,,,,,,,,
,额,,,,,,,,,,,,,,,,
,4．其他,,,,,,"1,662,857",,,,,,,,"1,662,857","-558,349","1,104,508"
,（三）利润,,,,,,,,,,"2,213",,"-27,460,343",,"-27,458,131","-450,171","-27,908,302"
,分配,,,,,,,,,,,,,,,,
,1．提取盈,,,,,,,,,,"2,213",,"-2,213",,,,
,余公积,,,,,,,,,,,,,,,,
