,（二）所有者,,"160,337",,,,"38,192,268","4,385,189",,,,,,"33,967,416"
,投入和减少资,,,,,,,,,,,,,
,本,,,,,,,,,,,,,
,1．所有者投入,,"160,337",,,,"38,234,404","4,385,189",,,,,,"34,009,553"
,的普通股,,,,,,,,,,,,,
,2．其他权益工,,,,,,,,,,,,,
,具持有者投入,,,,,,,,,,,,,
,资本,,,,,,,,,,,,,
,3．股份支付计,,,,,,"-102,601",,,,,,,"-102,601"
,入所有者权益,,,,,,,,,,,,,
,的金额,,,,,,,,,,,,,
,4．其他,,,,,,"60,465",,,,,,,"60,465"
,（三）利润分,,,,,,,,,,"80,169","-24,620,796",,"-24,540,627"
,配,,,,,,,,,,,,,
,1．提取盈余公,,,,,,,,,,"80,169","-80,169",,
,积,,,,,,,,,,,,,
,2．对所有者,,,,,,,,,,,"-24,540,627",,"-24,540,627"
,（或股东）的,,,,,,,,,,,,,
,分配,,,,,,,,,,,,,
,3．其他,,,,,,,,,,,,,
,（四）所有者,,,,,,,,"-168,193",,,"168,193",,
,权益内部结转,,,,,,,,,,,,,
,1．资本公积转,,,,,,,,,,,,,
,增资本（或股,,,,,,,,,,,,,
,本）,,,,,,,,,,,,,
,2．盈余公积转,,,,,,,,,,,,,
,增资本（或股,,,,,,,,,,,,,
,本）,,,,,,,,,,,,,
,3．盈余公积弥,,,,,,,,,,,,,
,补亏损,,,,,,,,,,,,,
