,项目,期末余额,,,期初余额,
租赁付款额,,"4,028,984",,"938,904",,
减：未确认融资费用,,"744,951",,"93,711",,
减：一年内到期的租赁负债,,"478,952",,"182,379",,
,合计,"2,805,081",,"662,814",,
