账 龄,,,2025年12月31日,,,,,,
,,,,应收账款,坏账准备,,,预期信用损失率(%),
1年以内,,,"54,002,512",,"669,784",,1.24,,
1至2年,,,"465,924",,"185,100",,39.73,,
2至3年,,,"97,416",,"89,260",,91.63,,
3年以上,,,"753,186",,"753,186",,100.00,,
,合计,,"55,319,037",,"1,697,330",,,,
