2025年12月,国家发展改革 委、财政部,文件名称：《关于2026年实施大规模设备更新和消费品以旧换新政策的通知》 主要内容：2026 年汽车“以旧换新”补贴方案在保持汽车补贴上限不变的基础上，将 定额补贴调整为按车价比例进行补贴；明确新能源乘用车、燃油乘用车的补贴比例 与对应上限；并提出在整体政策框架下持续实施大规模设备更新和消费品以旧换新 政策。
2025年12月,国家发展改革 委、工业和信息 化部、国家能源 局,文件名称：《关于印发国家级零碳园区建设名单（第一批）的通知》 主要内容：公布国家级零碳园区建设名单（第一批），并通知各地区发展改革委、 工业和信息化主管部门、能源局要会同有关方面加强对建设名单内园区的指导、要 积极支持本地区国家级零碳园区建设。各地区发展改革委要会同有关方面加强对国 家级零碳园区建设进展的跟踪调度。各地区发展改革委、工业和信息化主管部门、 能源局要加强经验总结，发挥国家级零碳园区示范引领作用。
