,项目,,,期初余额,,,本期增加,,,本期减少,,,期末余额,
,一、短期薪酬,,"18,646,704",,,"35,622,348",,,"31,166,840",,,"23,102,212",,
,二、离职后福利-设定,,"6,375",,,"1,932,987",,,"1,930,662",,,"8,701",,
,提存计划,,,,,,,,,,,,,
,合计,,"18,653,079",,,"37,555,335",,,"33,097,502",,,"23,110,912",,
