,境内会计师事务所名称,,致同会计师事务所（特殊普通合伙）
,境内会计师事务所报酬（万元）,,660
,境内会计师事务所审计服务的连续年限,,11
,境内会计师事务所注册会计师姓名,,殷雪芳、郑海霞
,境内会计师事务所注册会计师审计服务的连续年限,,殷雪芳4年、郑海霞2年
