,释义项,,,指,,,释义内容,
,本公司、公司、宁德时代,,,指,,,宁德时代新能源科技股份有限公司,
,厦门瑞庭,,,指,,,公司控股股东，厦门瑞庭投资有限公司,
,厦门时代,,,指,,,公司合并报表子公司，厦门时代新能源科技有限公司,
,宜春时代,,,指,,,公司合并报表子公司，宜春时代新能源科技有限公司,
,贵州时代,,,指,,,公司合并报表子公司，宁德时代（贵州）新能源科技有限公司,
,三江时代,,,指,,,公司合并报表子公司，宜宾三江时代新能源科技有限公司,
,江苏时代,,,指,,,公司合并报表子公司，江苏时代新能源科技有限公司,
,中州时代,,,指,,,公司合并报表子公司，中州时代新能源科技有限公司,
,时代广汽,,,指,,,公司合并报表子公司，时代广汽动力电池有限公司,
,时代绿能,,,指,,,公司合并报表子公司，时代绿色能源有限公司,
,广东邦普,,,指,,,公司合并报表子公司，广东邦普循环科技有限公司,
,SNE Research,,,指,,,韩国新能源领域咨询公司，提供电池行业全球市场研究和咨询服务,
,SMM,,,指,,,上海有色网，为有色金属行业综合服务门户,
,ESG,,,指,,,Environment、Social and Governance，环境、社会与公司治理,
,中国证监会,,,指,,,中国证券监督管理委员会,
,深交所,,,指,,,深圳证券交易所,
中登公司,,,,指,,中国证券登记结算有限责任公司深圳分公司,,
,巨潮资讯网,,,指,,,http://www.cninfo.com.cn,
,动力电池系统,,,指,,,动力电池里的电芯、模组/电箱、电池包,
,储能电池系统,,,指,,,储能电池里的电芯、模组/电箱、电池柜,
CTP,,,指,,,,电芯－电池包，一种将电芯直接集成到电池包的技术，不需要通过模,
,,,,,,,组,
CTC,,,指,,,,电芯－底盘，一种将电芯直接集成到整车底盘的技术，不需要通过模,
,,,,,,,组或电池包,
,NEV,,,指,,,新能源汽车，包括电动汽车和氢燃料等新型燃料电池车,
BEV,,,指,,,,英文：battery electric vehicle,
,,,,,,,中文：纯电动车,
PHEV,,,指,,,,英文：Plug-in hybrid electric vehicle,
,,,,,,,中文：插电式混合动力车,
HEV,,,指,,,,英文：hybrid electric vehicle,
,,,,,,,中文：混合动力车,
,DPPB,,,指,,,十亿分之一的失效率，制造过程中的质量度量标准,
,DPPM,,,指,,,百万分之一的失效率，制造过程中的质量度量标准,
,GWh,,,指,,,吉瓦时，一种电能单位，1GWh=10亿瓦时,
,MWh,,,指,,,兆瓦时，一种电能单位，1MWh=1百万瓦时,
,TWh,,,指,,,太瓦时，一种电能单位，1TWh =10亿千瓦时,
,报告期,,,指,,,2025年1月1日至2025年12月31日,
,注：本报告中若出现总数与各分项数值之和尾数不符的情况，均为四舍五入原因造成。,,,,,,,
