青美邦新能 源材料有限 公司,,2024年3月16 日,"84,346",2024年 12月10 日,"8,445",,连带 责任 保证,,,,1年,是,,,否,
,,,,2024年 12月10 日,"75,901",,连带 责任 保证,,,,1年 -5 年,否,,,否,
江西升华新 材料有限公 司,,2025年3月15 日,"400,000",,,,,,,,,否,,,否,
报告期内审批的对外担保额度 合计（A1）,,,"425,000",,,报告期内对外担保,,,"9,631,839",,,,,,,
,,,,,,实际发生额合计,,,,,,,,,,
,,,,,,（A2）,,,,,,,,,,
报告期末已审批的对外担保额 度合计（A3）,,,"11,613,306",,,报告期末实际对外,,,"4,663,512",,,,,,,
,,,,,,担保余额合计,,,,,,,,,,
,,,,,,（A4）,,,,,,,,,,
,公司对子公司的担保情况,,,,,,,,,,,,,,,
担保对象名 称,,担保额度相关公 告披露日期,担保额度,实际发生 日期,实际担保金 额,,担保 类型,,担保 物 （如 有）,反担保 情况 （如 有）,担 保 期,,是,,是否 为关 联方 担保,
,,,,,,,,,,,,,否,,,
,,,,,,,,,,,,,履,,,
,,,,,,,,,,,,,行,,,
,,,,,,,,,,,,,完,,,
,,,,,,,,,,,,,毕,,,
宁普时代电 池科技有限 公司及其控 股子公司,,2024年3月16 日,"436,265",2024年8 月30日- 2025年1 月5日,"126,288",,连带 责任 保证,,,,4个 月-2 年,是,,,否,
,,,,2024年8 月30日- 2025年1 月5日,"174,168",,连带 责任 保证,,,,1年 -10 年,否,,,否,
,,2025年3月15 日,"3,600,000",2025年9 月25日- 2025年 12月16 日,"11,093",,连带 责任 保证,,,,1个 月-3 个 月,是,,,否,
,,,,2025年9 月25日- 2025年 12月30 日,"621,518",,连带 责任 保证,,,,6个 月- 10 年,否,,,否,
香港邦普时 代新能源有 限公司,,2021年4月28 日、2021年10 月14日、2021 年10月27日、 2024年3月16 日,"4,475,934",2021年 12月14 日-2025 年5月 20日,"2,692,138",,连带 责任 保证,,,已提供 反担保,3个 月-4 年,是,,,否,
,,,,2021年7 月29日- 2025年5 月20日,"2,755,290",,连带 责任 保证,,,已提供 反担保,4年 -5 年,否,,,否,
,,2025年3月15 日,"3,514,400",,,,,,,,,否,,,否,
匈牙利时代 新能源科技 有限责任公,,2023年3月10 日、2024年3月 16日,"8,359,376",2025年3 月10日,"51,160",,连带 责任 保证,,,,10 个 月,是,,,否,
