,减：所得税费用,,"8,216,163",,,"6,584,433",,
,四、净利润（净亏损以“－”号填列）,,"70,414,214",,,"54,674,512",,
,（一）持续经营净利润（净亏损以,,"70,414,214",,,"54,674,512",,
,“－”号填列）,,,,,,,
,（二）终止经营净利润（净亏损以,,,,,,,
,“－”号填列）,,,,,,,
,五、其他综合收益的税后净额,,"4,351,205",,,"-35,731",,
,（一）不能重分类进损益的其他,,"1,545,230",,,"199,117",,
,综合收益,,,,,,,
,1.重新计量设定受益计划变动,,,,,,,
,额,,,,,,,
,2.权益法下不能转损益的其他,,"128,861",,,"93,456",,
,综合收益,,,,,,,
,3.其他权益工具投资公允价值,,"1,416,369",,,"105,660",,
,变动,,,,,,,
,4.企业自身信用风险公允价值,,,,,,,
,变动,,,,,,,
,5.其他,,,,,,,
,（二）将重分类进损益的其他综,,"2,805,975",,,"-234,848",,
,合收益,,,,,,,
,1.权益法下可转损益的其他综,,200,,,"-11,903",,
,合收益,,,,,,,
,2.其他债权投资公允价值变动,,,,,,,
,3.金融资产重分类计入其他综,,"16,334",,,"143,612",,
,合收益的金额,,,,,,,
,4.其他债权投资信用减值准备,,,,,,,
,5.现金流量套期储备,,"2,789,441",,,"-366,557",,
,6.外币财务报表折算差额,,,,,,,
,7.其他,,,,,,,
,六、综合收益总额,,"74,765,420",,,"54,638,781",,
,七、每股收益：,,,,,,,
（一）基本每股收益,,,,,,,,
,（二）稀释每股收益,,,,,,,
