独立执行董事：,,,,,,
林小雄,,,,,,
吴育辉,,,200,,,200
赵蓓,,,200,,,200
监事：,,,,,,
吴映明（2025.12.25起离任）,,,详见说明,,,
冯春艳（2025.12.25起离任）,,,"2,818",100,,"2,918"
柳娜（2025.12.25起离任）,,,"2,007",97,,"2,105"
,合计,,"21,915",593,"2,995","25,504"
