上汽时代动力电池系统 有限公司,,,"278,206",,,,"24,041",,,"-80,469",,,"221,777",
上市公司及上市公司部 分子公司投资,,,"40,429,036","682,626","3,292,145","2,366,027","6,643,806","18,410","286,985","-1,359,563",,"-84,040","46,860,751","682,626"
其他联营企业,,,"4,604,156","217,884","3,120,893",,"72,451",,"78,437","-19,176",,"-37,929","7,818,832","48,565"
,小计,,"53,327,031","1,038,624","6,413,038","2,499,746","7,285,568","147,272","321,232","-1,575,575",,"-224,930","63,193,889","869,304"
,合计,,"54,791,525","1,038,624","6,656,038","2,499,746","7,272,517","147,272","326,035","-1,584,391",,"-224,930","64,884,321","869,304"
