产品种 类,技术路线,主要 产品 类型,技术参数情况,,,,,,,下游主 要应用 领域
,,,,电芯质量能量,,,倍率 性能,,安全性,
,,,,,,,,循环寿命,,
,,,,密度,,,,,,
三元锂 离子电 池,正极材料 为镍钴锰 的锂离子 电池,方形,220~310Wh/kg,,,1~5C,,"2,000~6,000次",满足GB38031、UN38.3、 ECE R100.3等标准,乘用 车、商 用车
,,,HEV：100～ 150Wh/kg,,,HEV：1C～ 50C,,"HEV：60,000次",,
,,软 包、 圆柱,180-350Wh/kg,,,1C~17C,,"200-4,000次",消费无人机：满足IEC62133 2012/2017等标准； 电动工具：（软包）满足IEC 62133 2012/2017、UL1642、 IEC62133、UN38.3等标准； 电动摩托车：满足GB/T 36672等标准,消费无 人机、 电动工 具、电 动摩托 车等
磷酸铁 锂电池,正极材料 为磷酸铁 锂的锂离 子电池,方 形、 圆柱,180～ 200Wh/kg,,,0.25C～5C,,"4,000-15,000次",乘用车、商用车：满足 GB38031、GB38032、 UN38.3、ECE R100.3等标准 储能系统：满足 GB/T36276、UN38.3， UL9540A、UL1973、 IEC62619等标准 电动船舶：满足《船舶应用 电池动力规范》、UN38.3等 标准 电动自行车：满足 GB/T36972、UN38.3等标准,乘用 车、商 用车、 储能系 统、电 动船 舶、电 动自行 车等
,,软包,140-190Wh/kg,,,0.5C~6C,,"2,000-15,000次",家庭储能：满足GB31241等 标准；工商业储能：满足 GB31241等标准；数据中 心：满足GB31241等标准； 电动自行车：满足 GB/T36972等标准,家庭储 能、工 商业储 能、数 据中心 等
其他,正极材料 为磷酸铁 锂混镍钴 锰的锂离 子电池,方形,210-220Wh/kg,,,2C~4C,,"2,000~4,000次",乘用车：满足GB38031、 UN38.3等标准,乘用车
