,男,46,副总 经 理、 董事 会秘 书,现任,,2027 年12 月25 日,"44,669",,,,"50,639",
,,,,,2017,,,,,,,
,,,,,年6,,,,,,,
,,,,,月5,,,,,,,
,,,,,日,,,,,,,股权
蒋理,,,,,,,,"5,970",,,,
,,,,,,,,,,,,激励
,,,,,,,,,,,,
,,,联席 公司 秘书,现任,2025,,,,,,,
,,,,,年5,,,,,,,
,,,,,月20,,,,,,,
,,,,,日,,,,,,,
,男,46,财务 总监,现任,2017,2027 年12 月25 日,"42,850",,,,"46,166",
,,,,,年6,,,,,,,股权
郑舒,,,,,,,,"3,316",,,,
,,,,,月5,,,,,,,激励
,,,,,,,,,,,,
,,,,,日,,,,,,,
,男,59,执行 董事,离任,2024,2025 年12 月5 日,,,,,"14,924",
赵丰,,,,,年12,,,,,,,股权
,,,,,,,,"14,924",,,,
刚,,,,,月26,,,,,,,激励
,,,,,,,,,,,,
,,,,,日,,,,,,,
合计,--,--,--,--,--,--,"201,691,090","57,044","4,050,000",,"1 9 7 , 6 9 8 ,134",--
