内容,期末公允价值,估值技术,不可观察输入值,范围区间
其他权益工具投资,"4,527,107",市场法 近期交易价格法,市净率 市销率 市盈率 流动性折价 最新融资价格,2.21-4.49 1.64-24.14 35.43-86.10 40%-70% 1.79-120.58
其他非流动金融资产,"2,882,264",净资产价值,不适用,不适用
