名称,,,,期初余额,,,,,,,
,,,,账面余额,,,坏账准备,,,计提比例（%）,
1年内,,,"64,452,484",,,"752,810",,,1.17,,
1至2年,,,"610,440",,,"214,287",,,35.10,,
2至3年,,,"147,031",,,"126,013",,,85.71,,
3年以上,,,"706,377",,,"706,377",,,100.00,,
,合计,,"65,916,331",,,"1,799,487",,,,,
