,项目,,,2025年,,,2024年,,,变动比例,
,研发人员数量（人）,,"22,901",,,"20,346",,,12.56%,,
,研发人员数量占比,,12.32%,,,15.42%,,,-3.1%,,
,研发人员学历,,,,,,,,,,
,本科,,"9,418",,,"8,247",,,14.20%,,
,硕士,,"5,242",,,"5,083",,,3.13%,,
