被处置子公司,,,具体情况,
贵州时代思康新材料有限公司,,"本公司下属控股公司龙岩思康新材料有限公司，于本期转让贵州时代思 康新材料有限公司100%股权，转让对价合计为55,000千元。该股权转让 对本公司整体财务状况不存在重大影响。",,
时代创新（香港）有限公司,,本公司子公司香港时代新能源科技有限公司，于本期转让时代创新（香 港）有限公司100%股权，转让对价合计为48千美元。该股权转让对本 公司整体财务状况不存在重大影响。,,
