,,,2025年 9月4日,审议通过《关于2022年股票期权与限制性 股票激励计划之限制性股票首次及预留授 予第三个归属期归属条件成就的议案》《关 于2022年股票期权与限制性股票激励计划 之股票期权首次及预留授予第三个行权期 行权条件成就的议案》《关于作废部分已授 予尚未归属的限制性股票的议案》《关于注 销部分已授予尚未行权的股票期权的议 案》等议案,讨论，一致通 过所有议案,,
,,,2025年 10月17 日,审议通过《关于2021年股票期权与限制性 股票激励计划之限制性股票首次及预留授 予第四个归属期归属条件成就的议案》《关 于2021年股票期权与限制性股票激励计划 之股票期权首次及预留授予第四个行权期 行权条件成就的议案》《关于作废部分已授 予尚未归属的限制性股票的议案》《关于注 销部分已授予尚未行权的股票期权的议 案》等议案,,,
,,,2025年 12月2 日,审议通过《关于注销部分已授予尚未行权 的股票期权的议案》,,,
