项目,,,,期末余额,,,,,,,期初余额,,,,,,
,,,,账面余额,减值准备,,,账面价值,,,账面余额,,减值准备,,,账面价值,
境外,,,"10,902,548",,"12,081",,"10,890,467",,,"11,030,017",,,,,"11,030,017",,
华东地区,,,"6,867,337",,"139,928",,"6,727,410",,,"6,068,323",,"440,577",,,"5,627,746",,
华中地区,,,"5,890,546",,"681,718",,"5,208,828",,,"9,691,501",,,,,"9,691,501",,
西南地区,,,"3,536,487",,,,"3,536,487",,,"733,856",,,,,"733,856",,
华南地区,,,"2,619,971",,,,"2,619,971",,,"2,335,906",,,,,"2,335,906",,
其他地区,,,"749,945",,,,"749,945",,,"335,677",,,,,"335,677",,
,合计,,"30,566,835",,"833,728",,"29,733,108",,,"30,195,280",,"440,577",,,"29,754,703",,
