,公司及其子公司对外担保情况（不包括对子公司的担保）,,,,,,,,,,,,,
担保对象名 称,,担保额度相关公 告披露日期,担保额度,实际发生 日期,实际担保金 额,担保 类型,担保 物 （如 有）,反担保 情况 （如 有）,担 保 期,,是,,是否 为关 联方 担保,
,,,,,,,,,,,否,,,
,,,,,,,,,,,履,,,
,,,,,,,,,,,行,,,
,,,,,,,,,,,完,,,
,,,,,,,,,,,毕,,,
晋江闽投电 力储能科技 有限公司,,2019年4月25 日,"83,160",2019年7 月19日,"5,720",连带 责任 保证,,,5年 -7 年,是,,,是,
,,,,2019年7 月19日,"52,140",连带 责任 保证,,,6年 -15 年,否,,,是,
洛阳国宏投 资控股集团 有限公司,,2022年11月1 日,"10,000,000",2022年 12月7 日-2024 年10月 25日,"4,900,000",连带 责任 保证,,已提供 反担保,1年 -3 年,是,,,否,
,,,,2025年4 月28日- 2025年9 月10日,"4,000,000",连带 责任 保证,,已提供 反担保,2年,否,,,否,
佛山华普气 体科技有限 公司,,2022年4月22 日,"58,800",2023年1 月1日- 2024年6 月25日,"8,201",连带 责任 保证,,,1年 -3 年,是,,,否,
,,,,2023年1 月1日- 2024年6 月25日,"31,163",连带 责任 保证,,,2年 -5 年,否,,,否,
,,2025年3月15 日,"25,000",,,,,,,否,,,否,
宜春龙蟠时 代锂业科技 有限公司,,2023年3月10 日,"450,000",2023年8 月23日,"38,479",连带 责任 保证,,,1年 -2 年,是,,,否,
,,,,2023年8 月23日- 2025年1 月17日,"355,457",连带 责任 保证,,,2年 -8 年,否,,,否,
宜昌城市发 展投资集团 有限公司,,2023年3月10 日,"225,000",2024年1 月16日,"7,483",连带 责任 保证,,,1年 -2 年,是,,,否,
,,,,2024年1 月16日,"115,018",连带 责任 保证,,,2年 -14 年,否,,,否,
湖北宜化肥 业有限公司,,2024年3月16 日,"287,000",2024年9 月25日- 2025年 10月21 日,"33,835",连带 责任 保证,,,2年 -10 年,否,,,否,
