,项目,,,本期计提,,,本期收回或转回,,,本期转销/核销,,,其他,,,原因,
合同资产减值准备,,,"-43,412",,,,,,,,,-41,,,,,
,合计,,"-43,412",,,,,,,,,-41,,,,——,
