河南跃薪时代新能源科技有限公司,联营企业
江西春友锂业有限公司,联营企业
江西升华新材料有限公司及其部分子公司,联营企业
洛阳栾川钼业集团股份有限公司及其部分子公司,联营企业
能建时代新能源科技有限公司及其部分子公司,联营企业
宁德汇智镁铝科技有限公司,联营企业
宁德时代科士达科技有限公司,联营企业
宁乡金锂邦普环保科技有限公司,联营企业
曲靖市麟铁科技有限公司及其部分子公司,联营企业
厦门新能达科技有限公司及其部分子公司,联营企业
山东亘元新材料股份有限公司及其部分子公司,联营企业
山东融汇时代船舶科技有限公司,联营企业
商飞时代（上海）航空有限公司,联营企业
上海捷能智电新能源科技有限公司,联营企业
上海启源芯动力科技有限公司,联营企业
上海融和电科融资租赁有限公司及其部分子公司,联营企业
上海杉杉锂电材料科技有限公司部分子公司,联营企业
上海芯时代新能源科技有限公司,联营企业
上汽时代动力电池系统有限公司,联营企业
邵武永太高新材料有限公司,联营企业
深圳壁虎新能源汽车科技有限公司部分子公司,联营企业
深圳吉阳智能科技有限公司及其部分子公司,联营企业
深圳盛德新能源科技有限公司部分子公司,联营企业
时代智慧科技（福建）有限公司及其部分子公司,联营企业
无锡先导智能装备股份有限公司及其部分子公司,联营企业
宜宾百川绿能科技有限公司,联营企业
宜宾市天宜锂业科创有限公司及其部分子公司,联营企业
宜昌白洋供热有限公司,联营企业
宜春龙蟠时代锂业科技有限公司,联营企业
宜丰县花桥永拓矿业有限公司部分子公司,联营企业
众德世纪（天津）新能源科技有限公司部分子公司,联营企业
苏州天华新能源科技股份有限公司及其部分子公司,联营企业
宁普易充新能源科技（江苏）有限公司,联营企业
南京市卡睿创新创业管理服务有限公司,联营企业
广汽时代动力电池系统有限公司,联营企业
港华时代智慧能源科技（苏州）有限公司,联营企业
常州孟腾智能装备有限公司,联营企业
PT.QMB New Energy Materials（青美邦新能源材料有限公司）,联营企业
