,（1）计提,,"247,264","89,502","160,513","14,721",,"512,000"
,（2）其他增加,,,7,295,,,301
,3.本期减少金额,,"21,596","11,411","52,561",,,"85,569"
,（1）处置,,"2,865","8,338","52,553",,,"63,756"
,（2）其他减少,,"18,732","3,073",8,,,"21,813"
,4.期末余额,,"998,481","545,144","524,131","53,293",,"2,121,049"
,三、减值准备,,,,,,,
,1.期初余额,,"489,351",,,"3,569,111",,"4,058,463"
,2.本期增加金额,,"6,666",,"3,273",,,"9,939"
,（1）计提,,,,"3,273",,,"3,273"
,（2）其他增加,,"6,666",,,,,"6,666"
,3.本期减少金额,,,,,,,
,（1）处置,,,,,,,
,4.期末余额,,"496,017",,"3,273","3,569,111",,"4,068,402"
,四、账面价值,,,,,,,
,1.期末账面价值,,"10,099,098","282,718","392,927","4,426,402","62,730","15,263,875"
,2.期初账面价值,,"9,113,365","440,760","374,043","4,428,905","62,730","14,419,804"
