时间,颁布单位,文件名称及主要内容
2025年1月,国家发展改革 委、财政部,文件名称：《关于 2025 年加力扩围实施大规模设备更新和消费品以旧换新政策的通 知》 主要内容：推动设备更新升级，扩围支持老旧营运货车报废更新，将补贴范围扩大 至国四及以下排放标准营运货车；提高新能源城市公交车及动力电池更新补贴标 准；扩大汽车报废更新支持范围，将符合条件的国四排放标准乘用车纳入支持；完 善汽车置换更新补贴标准。
2025年1月,国家发展改革 委、国家能源局,文件名称：《关于深化新能源上网电价市场化改革 促进新能源高质量发展的通知》 主要内容：取消“强制配储”政策，即不得将配置储能作为新建新能源项目核准、并 网、上网等的前置条件；推动新能源上网电量全面进入电力市场，通过市场交易形 成价格；完善适应新能源发展的现货交易机制、中长期交易机制和绿色电力交易政 策；推动新能源公平参与市场交易；建立新能源可持续发展价格结算机制，区分存 量与增量项目，保持政策衔接并稳定收益预期；完善电力市场体系，更好支撑新能 源发展规划目标实现。
2025年4月,国家发展改革 委、国家能源局,文件名称：《关于全面加快电力现货市场建设工作的通知》 主要内容：围绕构建全国统一大市场要求，建设全国统一电力市场；全面加快电力 现货市场建设，力争在2025年底前基本实现电力现货市场全覆盖；全面开展连续结 算运行，发挥现货市场发现价格和调节供需的关键作用；正式运行和连续结算试运 行地区，建立适应新型经营主体需求的准入要求、注册程序、报价方式、考核结算 等机制；要求开展技术系统校验与第三方评估；强化市场监管、风险防范与运行保 障。
2025年6月,生态环境部、海 关总署、国家发 展改革委、工业 和信息化部、商 务部、国家市场 监督管理总局,文件名称：《关于规范锂离子电池用再生黑粉原料、再生钢铁原料进口管理有关事 项的公告》 主要内容：对锂离子电池用再生黑粉原料实行规范管理，重点包括： （一）明确进口标准，符合要求的再生黑粉原料不属于固体废物，可作为非固体废 物自由进口；必须分类包装，不得混装；同一报关单仅限申报同类再生原料；禁止 散装运输，不同类别须分区存放。（二）明确商品编码，规定锂离子电池用再生黑 粉原料的海关商品编号。（三）强化检验监管，海关依据行业技术规范开展检验， 对疑似固体废物委托专业机构开展属性鉴别并依法处理。明确再生钢铁原料的配套 管理要求与检验规则。
2025年9月,国家发展改革 委、国家能源局,"文件名称：《新型储能规模化建设专项行动方案（2025—2027年）》 主要内容：提出到 2027年全国新型储能装机规模达到 1.8亿千瓦以上，带动直接投 资约2,500亿元。重点包括： （一）场景应用：电源侧促进新能源电站与配建新型储能联合运行；电网侧推进构 网型储能在高比例新能源电网、弱电网和孤岛电网中应用；推进绿电直连、虚拟电 厂、智能微电网、源网荷储一体化、车网互动等模式；探索“人工智能+”应用场景。 （二）提升利用率：积极开展新型储能与电源协同优化调节。（三）推进创新融 合：依托试点促进技术多元化发展。（四）完善市场机制：推动“新能源+储能”一体 化参与电能量市场交易；完善容量电价机制和容量补偿机制；推动各类调节资源规 范参与市场。"
2025年12月,工业和信息化部,文件名称：《关于开展汽车动力电池碳足迹申报工作的通知》 主要内容：按照“需求牵引、系统推进、开放合作、持续完善”原则，明确动力电池 碳足迹核算规则；建立健全运行管理体系；协同推进标准规范、背景数据、监测计 量和评价认证建设；促进规则、标准与数据等的国际互认；推动形成碳足迹核算、 数据报送、核查认证的运行体系；助力动力电池产业高质量发展。
