,序号,,,客户名称,,,销售额（千元）,,,占年度销售总额比例,
,1,,第一名,,,"58,159,202",,,13.73%,,
,2,,第二名,,,"47,127,609",,,11.12%,,
,3,,第三名,,,"30,201,701",,,7.13%,,
,4,,第四名,,,"15,419,319",,,3.64%,,
,5,,第五名,,,"14,153,702",,,3.34%,,
,合计,,,--,,"165,061,533",,,38.96%,,
