承诺事由,承诺方,,承诺,,承诺内容,承诺时间,承诺期限,,履行,
,,,类型,,,,,,情况,
首次公开发行 或再融资时所 作承诺,厦门瑞庭 投资有限 公司、曾 毓群,关于 避免 同业 竞争 的承 诺,,,1、于本承诺函签署之日，本公司及本公司 （本人及本人）直接或间接控制的除宁德时代 及其控股子公司以外的其他企业，未从事或参 与任何与宁德时代主营业务构成竞争的业务； 2、自本承诺函签署之日起，本公司及本公司 （本人及本人）直接或间接控制的除宁德时代 及其控股子公司以外的其他企业将不会从事或 参与任何与宁德时代主营业务构成竞争或可能 存在竞争的业务；3、自本承诺函签署之日 起，如宁德时代进一步拓展其主营业务范围， 本公司及本公司（本人及本人）直接或间接控 制的除宁德时代及其子公司以外的其他企业将 不与宁德时代拓展后的主营业务相竞争；若与 宁德时代拓展后的主营业务产生竞争，本公司 及本公司（本人及本人）直接或间接控制的除 宁德时代及其控股子公司外的其他企业将以停 止经营相竞争业务、或者将相竞争业务纳入到 宁德时代经营、或者将相竞争业务转让给无关 联关系第三方等方式避免同业竞争；4、上述 承诺在本公司（本人）作为宁德时代控股股东 （实际控制人）期间持续有效。,2017年 11月2日,2017年 11月2日 -长期,正常 履行 中,,
,曾毓群,关于 避免 同业 竞争 的承 诺,,,针对本人投资、控制或拟投资、控制企业拥有 的与宁德时代投资、控制企业相同种类的矿产 资源探矿权转换为采矿权的潜在同业竞争问 题，承诺在本人投资、控制或拟投资、控制的 企业探矿业务取得成果后、开采锂矿等矿产资 源前，本人将本人持有的该等企业全部股权对 外出售，本人承诺以市场公允价格将本人持有 的该等企业全部股权转让给宁德时代或其控股 子公司，宁德时代按照关联交易程序决定是否 购买；如宁德时代或其控股子公司放弃购买本 人持有的该等企业全部股权，则本人承诺将本 人持有的该等企业全部股权转让给无关联第三 方。,2018年3 月5日,2018年3 月5日-宁 德时代不 再持有任 何矿业公 司股权之 日起自动 终止,正常 履行 中,,
